Name,Mileage,Engine,Seats
Mahindra XUV500 W4,16.0,2179,7.0
Ford EcoSport 1.5 Diesel Titanium Plus,23.0,1498,5.0
Skoda Yeti Ambition 4X2,17.72,1968,5.0
Hyundai i10 Sportz,20.36,1197,5.0
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,12.8,2494,8.0
Tata Zest Quadrajet 1.3 XT,20.65,1248,5.0
Maruti Swift VDI,22.9,1248,5.0
Skoda Rapid 1.5 TDI AT Style,21.72,1498,5.0
Toyota Innova Crysta 2.4 VX MT 8S,13.68,2393,8.0
Hyundai Verna 1.6 SX VTVT,17.01,1591,5.0
Honda City i VTEC VX Option,17.4,1497,5.0
Honda City i DTEC SV,26.0,1498,5.0
Volkswagen Vento Diesel Highline,20.54,1598,5.0
Audi Q5 2008-2012 3.0 TDI,12.19,2967,5.0
Maruti Alto 800 LXI,22.74,796,5.0
Tata Manza ELAN Quadrajet BS IV,21.12,1248,5.0
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,15.29,1591,5.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,12.0,2987,7.0
Mahindra Thar CRDe,16.55,2498,6.0
Hyundai Verna 1.6 CRDI,22.32,1582,5.0
Ford Aspire Titanium Diesel,26.1,1498,5.0
Mini Cooper 3 DOOR D,20.7,1496,4.0
Maruti Omni 8 Seater BSIV,14.0,796,5.0
Mahindra Verito 1.5 D4 BSIV,21.03,1461,5.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,14.21,2143,5.0
Renault Duster 110PS Diesel RxZ,19.01,1461,5.0
Maruti Swift Dzire Tour LDI,23.4,1248,5.0
Volkswagen Polo Petrol Highline 1.2L,16.47,1198,5.0
Mahindra XUV500 W10 2WD,16.0,2179,7.0
Volkswagen Polo 1.2 MPI Highline,16.47,1198,5.0
Maruti Ritz VXI,21.1,1197,5.0
Toyota Innova 2.5 GX 7 STR BSIV,12.8,2494,7.0
Honda City i DTec SV,26.0,1498,5.0
Volkswagen Ameo 1.2 MPI Highline,17.0,1198,5.0
Maruti SX4 ZDI Leather,21.5,1248,5.0
Maruti Swift ZXI,18.6,1197,5.0
Hyundai Creta 1.6 CRDi SX,19.67,1582,5.0
Audi Q7 35 TDI Quattro Technology,12.07,2967,7.0
Maruti Alto LXi BSIII,19.7,796,5.0
Honda Amaze SX i-DTEC,25.8,1498,5.0
Volkswagen Passat Diesel Highline 2.0 TDI,18.33,1968,5.0
Hyundai Elantra CRDi SX AT,19.5,1582,5.0
Maruti Wagon R VXI BS IV,18.9,998,5.0
Land Rover Discovery Sport TD4 HSE 7S,12.81,1999,7.0
Honda City i VTEC SV,17.8,1497,5.0
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,14.74,1991,5.0
Maruti Wagon R LX BS IV,20.51,998,5.0
Hyundai Verna 1.6 CRDI,22.32,1582,5.0
Volkswagen Tiguan 2.0 TDI Highline,17.06,1968,5.0
BMW X1 sDrive 20d Exclusive,15.06,1995,5.0
Hyundai Grand i10 1.2 CRDi Sportz Option,24.0,1186,5.0
Mercedes-Benz E-Class E250 CDI Avantgrade,13.0,2143,5.0
Hyundai Grand i10 Asta Option,18.9,1197,5.0
Hyundai i10 Magna 1.2,20.36,1197,5.0
Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,19.33,1968,5.0
Skoda Yeti Elegance,17.67,1968,5.0
Audi Q7 45 TDI Quattro Premium Plus,14.75,2967,7.0
Toyota Fortuner 3.0 Diesel,11.5,2982,7.0
Maruti Wagon R VXI Minor ABS,18.9,1061,5.0
Hyundai EON Era,21.1,814,5.0
Honda Brio S MT,19.4,1198,5.0
Maruti Alto 800 VXI,22.74,796,5.0
Mahindra Bolero ZLX,15.96,2523,7.0
Honda City i VTEC SV,17.8,1497,5.0
Skoda Rapid 1.6 MPI Elegance Black Package,15.0,1598,5.0
Maruti Swift VVT VXI,22.0,1197,5.0
Hyundai EON Magna Plus,21.1,814,5.0
Maruti Swift Dzire ZXI,20.85,1197,5.0
Nissan Micra XV CVT,19.34,1198,5.0
Audi Q7 4.2 FSI quattro,8.3,4134,7.0
Maruti Swift Vdi BSIII,17.8,1248,5.0
Tata Xenon XT EX 4X2,13.49,2179,5.0
Volkswagen Polo 1.5 TDI Comfortline,20.14,1498,5.0
Honda City i VTEC SV,17.8,1497,5.0
Honda City i VTEC V,17.4,1497,5.0
Maruti 800 AC BSIII,16.1,796,4.0
Volkswagen Polo 1.5 TDI Trendline,20.14,1498,5.0
Chevrolet Captiva LTZ VCDi,12.5,1991,7.0
Mahindra XUV500 W10 2WD,16.0,2179,7.0
Honda Amaze VX i-DTEC,25.8,1498,5.0
Hyundai i20 1.2 Sportz Option,17.0,1197,5.0
Maruti Wagon R AMT VXI,20.51,998,5.0
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,16.96,1968,5.0
Maruti Ciaz 1.4 Zeta,20.73,1373,5.0
Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,11.79,2179,7.0
Chevrolet Aveo U-VA 1.2 LS,15.26,1150,5.0
Maruti Ciaz ZXi Option,20.73,1373,5.0
Hyundai i20 1.4 CRDi Asta,23.0,1396,5.0
Honda Jazz 1.2 SV i VTEC,18.7,1199,5.0
Mahindra XUV500 W10 2WD,16.0,2179,7.0
Hyundai i20 1.2 Sportz,17.0,1197,5.0
Hyundai Verna 1.6 SX,22.32,1582,5.0
Hyundai i10 Era 1.1,19.81,1086,5.0
Maruti Celerio VXI AT,23.1,998,5.0
Skoda Fabia 1.2 TDI Ambition,20.86,1199,5.0
Maruti Swift VDI BSIV,25.2,1248,5.0
Hyundai i10 Magna(O) with Sun Roof,16.0,1086,5.0
Hyundai i10 Magna 1.2,20.36,1197,5.0
Ford Ecosport 1.5 Ti VCT AT Titanium,16.5,1499,5.0
Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,11.5,2987,5.0
Maruti Swift VDI BSIV,25.2,1248,5.0
Maruti 800 Std BSIII,16.1,796,4.0
Maruti Swift Lxi BSIII,16.1,1298,5.0
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,15.29,1591,5.0
BMW X1 M Sport sDrive 20d,17.05,1995,5.0
Ford Ikon 1.3 Flair,13.8,1299,5.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,22.7,1498,5.0
Maruti Ciaz VXi Plus,20.73,1373,5.0
Volkswagen Passat Diesel Highline 2.0 TDI,18.33,1968,5.0
Honda Jazz 1.5 VX i DTEC,27.3,1498,5.0
Audi A4 35 TDI Premium,17.11,1968,5.0
Hyundai Grand i10 CRDi Sportz Celebration Edition,24.0,1120,5.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,12.0,2987,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater,12.99,2494,7.0
Nissan Sunny 2011-2014 XL,16.95,1498,5.0
Skoda Laura Ambiente 2.0 TDI CR AT,20.0,1968,5.0
Chevrolet Aveo 1.4 LS,14.49,1399,5.0
Honda Mobilio V i DTEC,24.2,1498,7.0
Maruti Ritz VDi,21.1,1248,5.0
Volkswagen Polo Petrol Highline 1.2L,16.47,1198,5.0
Nissan Terrano XL,13.24,1598,5.0
Maruti A-Star AT Vxi Aktiv,16.98,998,5.0
Honda City 1.5 S MT,17.0,1497,5.0
Hyundai Grand i10 AT Asta,18.9,1197,5.0
Jaguar XE 2.0L Diesel Prestige,13.6,1999,5.0
Mahindra Scorpio VLX,12.05,2179,8.0
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,11.74,1796,5.0
Skoda Superb Elegance 1.8 TSI AT,13.7,1798,5.0
Chevrolet Cruze LTZ AT,18.1,1991,4.0
Mahindra Scorpio VLX,12.05,2179,8.0
Hyundai Verna 1.6 SX VTVT (O),17.1,1591,5.0
Hyundai i20 1.4 Asta CRDi with AVN,23.0,1396,5.0
Honda City ZX CVT,16.4,1497,5.0
Hyundai i10 Magna,20.36,1197,5.0
Honda Amaze S i-Dtech,25.8,1498,5.0
Maruti Wagon R LXI,22.5,998,5.0
Honda Brio S MT,19.4,1198,5.0
Hyundai i20 1.2 Sportz Option,17.0,1197,5.0
Volkswagen Vento 2013-2015 1.6 Comfortline,15.04,1598,5.0
Skoda Octavia Rider 1.9 TDI MT,18.7,1896,5.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,13.0,2143,5.0
Renault Duster Petrol RxL,13.24,1598,5.0
Hyundai EON Sportz,21.1,814,5.0
Maruti Swift VXI,18.6,1197,5.0
Audi Q5 3.0 TDI Quattro Technology,13.22,2967,5.0
Hyundai i20 1.2 Spotz,18.6,1197,5.0
Honda Brio S MT,19.4,1198,5.0
Maruti Swift Dzire ZXi,17.5,1298,5.0
Hyundai Grand i10 1.2 Kappa Magna,18.9,1197,5.0
Mahindra Xylo E8 ABS BS IV,11.68,2498,8.0
Volkswagen Polo GTI,17.21,1798,4.0
Maruti Alto K10 VXI,24.07,998,5.0
Volkswagen Polo Diesel Comfortline 1.2L,22.07,1199,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Mercedes-Benz New C-Class C 220 CDI Elegance AT,14.84,2143,5.0
Hyundai Verna 1.6 SX VTVT AT,15.74,1591,5.0
Fiat Punto EVO 1.2 Emotion,15.7,1172,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,12.99,2494,8.0
Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,18.49,1493,7.0
Volkswagen Polo 1.5 TDI Comfortline,20.14,1498,5.0
BMW 5 Series 520d Luxury Line,22.48,1995,5.0
Mercedes-Benz GLE 350d,11.57,2987,5.0
Mercedes-Benz M-Class ML 350 CDI,11.74,2987,5.0
Hyundai Grand i10 1.2 Kappa Sportz,18.9,1197,5.0
Skoda Superb Elegance 1.8 TSI AT,13.7,1798,5.0
Hyundai i10 Sportz AT,16.95,1197,5.0
Hyundai i20 1.4 CRDi Asta,23.0,1396,5.0
Mahindra Scorpio VLX,12.05,2179,8.0
Honda Brio V MT,19.4,1198,5.0
Hyundai i20 1.2 Magna Executive,18.6,1197,5.0
Ford Endeavour 4x2 XLT Limited Edition,10.9,2499,7.0
Hyundai Verna CRDi SX,16.8,1493,5.0
Toyota Fortuner 3.0 Diesel,11.5,2982,7.0
BMW X1 sDrive20d,17.05,1995,5.0
Toyota Fortuner 4x2 AT,12.55,2982,7.0
Honda Amaze V CVT Petrol,19.0,1199,5.0
Hyundai i10 Era 1.1,19.81,1086,5.0
Hyundai i20 1.2 Sportz,17.0,1197,5.0
BMW 3 Series 320d GT Luxury Line,19.59,1995,5.0
Audi Q3 35 TDI Quattro Premium Plus,15.17,1968,5.0
Maruti Swift VXI Optional,20.4,1197,5.0
Maruti Baleno Delta Automatic,21.4,1197,5.0
Hyundai Accent GLE,13.2,1495,5.0
Maruti Ritz LXi,18.5,1197,5.0
Tata Nano Lx,26.0,624,4.0
Ford Figo Diesel EXI,20.0,1399,5.0
Volkswagen Passat Diesel Highline 2.0 TDI,18.33,1968,5.0
Fiat Linea Emotion Pack (Diesel),19.0,1248,5.0
Mahindra Xylo D4,14.95,2489,7.0
Maruti Wagon R VXI,18.9,998,5.0
Toyota Etios G Safety,17.6,1496,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,12.99,2494,8.0
Tata Indica V2 DLS TC,16.8,1405,5.0
BMW 3 Series 320d Sport Line,18.88,1995,5.0
Ford Endeavour 3.2 Titanium AT 4X4,10.91,3198,7.0
Maruti Ciaz Zeta,21.56,1462,5.0
Ford Figo 1.5D Titanium Plus MT,25.83,1498,5.0
Chevrolet Aveo U-VA 1.2 LS,15.26,1150,5.0
Honda City 1.5 V AT,16.8,1497,5.0
Nissan Sunny XL,16.95,1498,5.0
Maruti Swift Dzire VXI,19.1,1197,5.0
Ford Figo Diesel Titanium,20.0,1399,5.0
Fiat Grande Punto 1.3 Emotion (Diesel),20.3,1248,5.0
Hyundai Elite i20 Petrol Asta,18.6,1197,5.0
Maruti Swift Dzire VDI,23.4,1248,5.0
Ford Ecosport 1.5 DV5 MT Titanium,22.7,1498,5.0
Maruti Swift Dzire VDi,19.3,1248,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Ford Endeavour 3.0L 4X4 AT,11.4,2953,7.0
Volkswagen Polo Diesel Highline 1.2L,22.07,1199,5.0
Mahindra TUV 300 2015-2019 mHAWK100 T8,18.49,1493,7.0
BMW X6 xDrive 40d,11.2,2993,4.0
Renault Duster 110PS Diesel RxZ,19.01,1461,5.0
Maruti Wagon R LXI,22.5,998,5.0
Maruti Ertiga SHVS VDI,24.52,1248,7.0
Maruti Alto LXi BSIII,19.7,796,5.0
Maruti Wagon R AMT VXI Option,20.51,998,5.0
Maruti Eeco 7 Seater Standard,15.1,1196,7.0
Renault Duster 110PS Diesel RxL,19.6,1461,5.0
Maruti Zen Estilo 1.1 LX BSIII,18.2,1061,5.0
Renault Duster Petrol RxL,13.06,1598,5.0
Honda Civic 2006-2010 1.8 S MT,13.5,1799,5.0
Mahindra XUV500 W8 2WD,16.0,2179,7.0
Mahindra Verito 1.5 D6 BSIV,21.0,1461,5.0
Renault KWID Climber 1.0 MT,21.7,999,5.0
Porsche Cayenne Diesel,15.15,2967,5.0
Maruti Swift DDiS VDI,28.4,1248,5.0
Datsun GO T Option,20.63,1198,5.0
Hyundai i20 1.2 Magna,18.5,1197,5.0
BMW 5 Series 2013-2017 520d Luxury Line,18.12,1995,5.0
Maruti Ertiga ZDI,20.77,1248,7.0
Hyundai Grand i10 Magna,18.9,1197,5.0
BMW 3 Series 330i,9.43,2996,5.0
Chevrolet Cruze LTZ,17.9,1998,5.0
Mercedes-Benz M-Class ML 350 4Matic,0.0,2987,5.0
Maruti Ritz LDi,21.1,1248,5.0
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,11.74,1796,5.0
Hyundai i20 1.2 Magna Executive,18.6,1197,5.0
Hyundai EON 1.0 Kappa Magna Plus Optional,20.3,998,5.0
Maruti Swift VDI,22.9,1248,5.0
Hyundai i20 Sportz 1.2,18.6,1197,5.0
Maruti Ritz ZXi,18.5,1197,5.0
Maruti Swift VDI,22.9,1248,5.0
Honda WRV i-VTEC VX,17.5,1199,5.0
Hyundai Xcent 1.2 Kappa AT S Option,16.9,1197,5.0
Honda Amaze E i-Vtech,18.0,1198,5.0
Hyundai Verna 1.6 SX VTVT (O),17.1,1591,5.0
Honda City V MT,16.8,1497,5.0
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,15.29,1591,5.0
Mahindra XUV500 W8 2WD,15.1,2179,7.0
Toyota Innova 2.5 V Diesel 7-seater,12.8,2494,7.0
Maruti Swift VDI,22.9,1248,5.0
Maruti Wagon R VXI AMT,22.5,998,5.0
Hyundai Grand i10 1.2 Kappa Asta,18.9,1197,5.0
Honda Amaze VX i-DTEC,25.8,1498,5.0
BMW 3 Series 320d Highline,16.07,1995,5.0
Ford Figo Petrol Titanium,15.6,1196,5.0
Volkswagen Ameo 1.2 MPI Trendline,17.0,1198,5.0
Ford Ecosport 1.5 DV5 MT Trend,22.7,1498,5.0
Honda City 1.3 EXI,13.0,1343,5.0
Mahindra XUV500 W6 2WD,16.0,2179,7.0
Toyota Fortuner 4x2 Manual,13.0,2982,7.0
Hyundai Grand i10 1.2 Kappa Magna,18.9,1197,5.0
Maruti Dzire AMT ZDI Plus,28.4,1248,5.0
Maruti Swift VDI,22.9,1248,5.0
Volkswagen Polo Petrol Highline 1.2L,16.47,1198,5.0
Toyota Etios Liva 1.2 VX Dual Tone,18.16,1197,5.0
Maruti Swift VXI,22.0,1197,5.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,14.21,2143,5.0
Maruti Wagon R VXI,18.9,998,5.0
Tata Nano Lx BSIV,26.0,624,4.0
Skoda Laura 1.8 TSI Ambiente,13.4,1798,5.0
Volkswagen Polo GT TSI,17.21,1197,5.0
Hyundai Verna 1.6 SX,22.32,1582,5.0
Tata Bolt Quadrajet XE,22.95,1248,5.0
Hyundai EON D Lite Plus,21.1,814,5.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,17.11,1968,5.0
Toyota Innova 2.5 GX (Diesel) 7 Seater,12.99,2494,7.0
Mercedes-Benz M-Class ML 350 CDI,11.74,2987,5.0
Hyundai Xcent 1.1 CRDi S,24.4,1120,5.0
Honda Accord 2.4 AT,11.7,2354,5.0
Volkswagen Vento 1.5 TDI Highline,20.34,1498,5.0
Hyundai i20 Sportz Petrol,17.0,1197,5.0
Hyundai Elantra CRDi SX,22.7,1582,5.0
Ford Figo Diesel Titanium,20.0,1399,5.0
Hyundai i20 1.2 Magna Executive,18.6,1197,5.0
Hyundai Verna 1.6 CRDi SX,23.9,1582,5.0
Hyundai Grand i10 Asta,18.9,1197,5.0
Audi Q5 2.0 TDI,14.16,1968,5.0
Maruti Swift Dzire ZXi,17.5,1298,5.0
Hyundai i20 Magna,18.5,1197,5.0
Mahindra KUV 100 mFALCON D75 K4 Plus 5str,25.32,1198,5.0
Hyundai Elantra 1.6 SX Option AT,18.23,1582,5.0
Jeep Compass 2.0 Limited Option Black,17.1,1956,5.0
Maruti Vitara Brezza VDi Option,24.3,1248,5.0
Toyota Corolla Altis 1.8 GL,14.28,1798,5.0
Mahindra XUV500 W8 2WD,15.1,2179,7.0
BMW X1 xDrive 20d xLine,20.68,1995,5.0
Hyundai i20 Magna 1.4 CRDi,22.54,1396,5.0
Mercedes-Benz GLE 350d,11.57,2987,5.0
Chevrolet Cruze LTZ,17.3,1998,5.0
Hyundai i20 1.2 Magna,18.5,1197,5.0
Honda Brio S MT,19.4,1198,5.0
Nissan Evalia 2013 XL,19.3,1461,7.0
Volkswagen Polo Petrol Trendline 1.2L,16.47,1198,5.0
Hyundai i10 Sportz 1.2,20.36,1197,5.0
Chevrolet Cruze LTZ AT,18.1,1991,4.0
Hyundai i10 Era,19.81,1086,5.0
Maruti Ertiga VDI,20.77,1248,7.0
Honda Amaze S i-Dtech,25.8,1498,5.0
Mercedes-Benz A Class A180 Sport,15.5,1595,5.0
Hyundai Grand i10 1.2 Kappa Magna,18.9,1197,5.0
Hyundai i10 Sportz 1.2,20.36,1197,5.0
Maruti Swift DDiS ZDI Plus,28.4,1248,5.0
Honda City 1.3 EXI,13.0,1343,5.0
Toyota Innova 2.5 GX (Diesel) 7 Seater,12.99,2494,7.0
Mini Cooper Countryman D High,23.8,1998,5.0
Fiat Linea T-Jet Active,15.7,1368,5.0
Chevrolet Aveo 1.4 LT,14.49,1399,5.0
Hyundai i10 Era 1.1,19.81,1086,5.0
Hyundai Xcent 1.1 CRDi Base,24.4,1120,5.0
Maruti Celerio VXI AT,23.1,998,5.0
Hyundai i10 Sportz,20.36,1197,5.0
Renault Duster 85PS Diesel RxL,19.87,1461,5.0
BMW 3 Series 320d,22.69,1995,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Chevrolet Spark 1.0 LS,18.0,995,5.0
Honda City i VTEC VX Option,17.4,1497,5.0
Volkswagen Vento Diesel Highline,20.54,1598,5.0
Toyota Fortuner 4x2 4 Speed AT,11.5,2982,7.0
Honda City 1.5 S MT,17.0,1497,5.0
BMW 5 Series 2013-2017 520d Luxury Line,18.12,1995,5.0
Audi Q5 30 TDI quattro Premium Plus,14.16,1968,5.0
Maruti Ritz LDi,23.2,1248,5.0
Volkswagen Vento 1.5 TDI Highline AT,21.21,1498,5.0
Honda City i DTEC SV,26.0,1498,5.0
Audi A4 New 2.0 TDI Multitronic,15.2,1968,5.0
Skoda Rapid 1.6 MPI Elegance,15.0,1598,5.0
Toyota Fortuner 3.0 Diesel,11.5,2982,7.0
Chevrolet Optra Magnum 2.0 LT BS3,16.52,1991,5.0
Maruti Eeco 7 Seater Standard,15.1,1196,7.0
Maruti Ciaz ZXi,20.73,1373,5.0
Maruti Ciaz VDi Plus SHVS,28.09,1248,5.0
Toyota Innova 2.5 LE 2014 Diesel 7 Seater,12.99,2494,7.0
Maruti Swift Dzire VXI,19.1,1197,5.0
Toyota Innova Crysta 2.8 GX AT,11.36,2755,7.0
Tata Indica V2 eLX,25.0,1396,5.0
Hyundai i20 Magna,18.5,1197,5.0
Ford Fiesta 1.4 Duratorq ZXI,17.8,1399,5.0
Chevrolet Enjoy 1.3 TCDi LS 8,18.2,1248,8.0
Ford Fiesta 1.4 Duratorq EXI,17.8,1399,5.0
Honda CR-V 2.4 MT,10.8,2354,5.0
Honda Jazz 1.2 VX i VTEC,18.7,1199,5.0
Mercedes-Benz GLS 350d Grand Edition,11.0,2987,7.0
Hyundai Grand i10 1.2 Kappa Sportz,18.9,1197,5.0
Maruti Ritz VXi,18.5,1197,5.0
Volkswagen Ameo 1.5 TDI Highline AT,22.0,1498,5.0
Honda City i VTEC SV,17.4,1497,5.0
Honda Jazz 1.2 S i VTEC,18.7,1199,5.0
Maruti Swift Ldi BSIV,17.8,1248,5.0
Hyundai Creta 1.6 CRDi AT SX Plus,17.01,1582,5.0
Audi A7 2011-2015 3.0 TDI Quattro,14.4,2967,5.0
Hyundai EON D Lite Plus,21.1,814,5.0
Ford Figo Diesel EXI,20.0,1399,5.0
Volkswagen Ameo 1.2 MPI Highline,17.0,1198,5.0
Renault Scala Diesel RxL,21.64,1461,5.0
Honda Jazz 1.2 V i VTEC,18.7,1199,5.0
Hyundai i20 1.2 Sportz,17.0,1197,5.0
Audi A4 3.0 TDI Quattro Premium,14.94,2967,5.0
Mahindra Ssangyong Rexton RX7,11.18,2696,7.0
Toyota Fortuner 2.8 2WD AT,12.9,2755,7.0
Skoda Octavia Classic 1.9 TDI MT,18.7,1896,5.0
Mercedes-Benz New C-Class 250 CDI Classic,15.8,2148,5.0
Maruti Ciaz 1.4 Zeta,20.73,1373,5.0
Maruti Swift ZDi,22.9,1248,5.0
Toyota Qualis FS B3,13.1,2446,10.0
BMW 5 Series 2007-2010 525d Sedan,16.73,2495,5.0
Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,10.5,2835,6.0
Toyota Corolla H2,13.4,1794,5.0
Maruti Omni E MPI STD BS IV,16.8,796,8.0
Audi A6 2011-2015 2.0 TDI,17.68,1968,5.0
Honda Jazz 1.5 S i DTEC,27.3,1498,5.0
Mercedes-Benz E-Class 200 Kompressor Elegance,10.5,1796,5.0
Honda City 1.5 EXI,13.0,1493,5.0
Audi A4 2.0 TDI,16.55,1968,5.0
Maruti Swift Dzire VXI,19.1,1197,5.0
Maruti Dzire VDI,28.4,1248,5.0
Mahindra XUV500 W8 4WD,15.1,2179,7.0
Chevrolet Beat LT,18.6,1199,5.0
Ford EcoSport 1.5 Diesel Titanium Plus,23.0,1498,5.0
BMW 5 Series 2013-2017 530d M Sport,14.69,2993,5.0
Audi Q5 30 TDI quattro Premium Plus,14.16,1968,5.0
BMW X1 sDrive 20d xLine,20.68,1995,5.0
Hyundai i10 Magna AT,19.2,1197,5.0
Hyundai Creta 1.6 CRDi AT SX Plus,17.01,1582,5.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,17.11,1968,5.0
Mercedes-Benz S Class 2005 2013 S 350 L,10.13,3498,5.0
Hyundai i10 Magna,20.36,1197,5.0
Ford EcoSport 1.5 Diesel Titanium,23.0,1498,5.0
Volkswagen Vento Diesel Highline,20.54,1598,5.0
Maruti Dzire ZDI Plus,28.4,1248,5.0
Mahindra Scorpio 1.99 S10,15.4,1997,7.0
Hyundai i20 Asta 1.4 CRDi,22.54,1396,5.0
Maruti Alto LXi,19.7,796,5.0
Hyundai i10 Magna,20.36,1197,5.0
Mahindra Scorpio S6 7 Seater,15.4,2179,7.0
Skoda Fabia 1.2L Diesel Classic,19.5,1199,5.0
BMW X5 xDrive 30d,15.3,2993,5.0
Honda Jazz 1.5 S i DTEC,27.3,1498,5.0
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,10.0,2148,5.0
Mahindra XUV500 AT W10 FWD,16.0,2179,7.0
Honda City i VTEC CVT SV,18.0,1497,5.0
Maruti Swift VDI,22.9,1248,5.0
Mercedes-Benz New C-Class 220 CDI AT,14.84,2143,5.0
Honda City 1.5 S MT,17.0,1497,5.0
Tata Sumo EX,15.3,2956,7.0
Hyundai i20 Magna,18.5,1197,5.0
Fiat Linea 1.3 Dynamic,20.4,1248,5.0
Honda Civic 2006-2010 1.8 V AT,12.9,1799,5.0
Hyundai Creta 1.6 SX Plus Diesel,19.67,1582,5.0
Audi A3 35 TDI Technology,20.38,1968,5.0
Hyundai Verna VTVT 1.6 SX Option,17.0,1591,5.0
Hyundai i20 1.4 CRDi Magna,21.9,1396,5.0
Honda Mobilio S i DTEC,24.2,1498,7.0
Hyundai Verna 1.6 SX CRDI (O) AT,22.32,1582,5.0
Ford Fiesta 1.6 ZXI Duratec,15.3,1596,5.0
Hyundai i10 Sportz 1.2,20.36,1197,5.0
Maruti Vitara Brezza ZDi,24.3,1248,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,12.99,2494,7.0
Mercedes-Benz GLA Class 200 d Sport,17.9,2143,5.0
Maruti Alto LXi BSIII,19.7,796,5.0
Mercedes-Benz New C-Class C 220 CDI Elegance AT,14.84,2143,5.0
Maruti Swift LDI,22.9,1248,5.0
Hyundai Grand i10 Sportz,18.9,1197,5.0
Toyota Fortuner 4x4 AT,12.55,2982,7.0
Toyota Innova 2.0 GX 8 STR,12.4,1998,8.0
Ford EcoSport 1.5 TDCi Titanium,22.77,1498,5.0
Ford Figo 1.2P Titanium MT,18.16,1196,5.0
Toyota Fortuner 3.0 Diesel,11.5,2982,7.0
Maruti Swift Dzire VXI,19.1,1197,5.0
BMW 7 Series 740Li,12.05,2979,5.0
Skoda Superb 1.8 TSI MT,13.14,1798,5.0
Maruti Wagon R LXI Minor,18.9,1061,5.0
Renault Duster 110PS Diesel RxZ,19.01,1461,5.0
Maruti Ciaz VXi Plus,20.73,1373,5.0
Hyundai Elantra CRDi SX,22.7,1582,5.0
Skoda Rapid 1.5 TDI AT Elegance,21.66,1498,5.0
Mercedes-Benz New C-Class C 220 CDI Elegance AT,14.84,2143,5.0
Honda Accord 2.4 A/T,11.7,2354,5.0
Maruti Celerio VXI,23.1,998,5.0
BMW 7 Series 740Li,12.05,2979,5.0
BMW 3 Series 320d Sport,22.69,1995,5.0
Volkswagen Vento Diesel Trendline,20.54,1598,5.0
Maruti Swift Dzire Tour LDI,23.4,1248,5.0
Land Rover Freelander 2 SE,12.39,2179,5.0
Hyundai i20 1.4 CRDi Magna,21.9,1396,5.0
Maruti Dzire VDI,28.4,1248,5.0
Jeep Compass 2.0 Longitude,17.1,1956,5.0
Maruti Ertiga VDI,20.77,1248,7.0
Ford Figo Petrol ZXI,15.6,1196,5.0
Toyota Corolla Altis 1.4 DG,21.43,1364,5.0
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,24.3,1248,5.0
Honda City 1.5 S MT,17.0,1497,5.0
Mahindra Scorpio S10 4WD,15.4,2179,7.0
Hyundai Xcent 1.2 VTVT SX,20.14,1197,5.0
Mahindra Renault Logan 1.4 GLX Petrol,15.7,1390,5.0
Skoda Octavia 1.9 TDI,18.7,1896,5.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,12.0,2987,7.0
BMW X1 sDrive 20d xLine,20.68,1995,5.0
Volkswagen Vento 2013-2015 1.6 Comfortline,15.04,1598,5.0
Audi A4 2.0 TDI,16.55,1968,5.0
Ford Ikon 1.4 TDCi DuraTorq,13.8,1399,5.0
Hyundai Verna 1.6 CRDi EX MT,22.32,1582,5.0
Toyota Innova Crysta 2.4 VX MT,13.68,2393,7.0
Hyundai Grand i10 Asta Option,18.9,1197,5.0
Volkswagen Ameo 1.2 MPI Comfortline,17.0,1198,5.0
